Sales Title,Location/Distance (Miles),Price (£),Mileage,Year,Fuel Type,Transmissions,Colour,Number of Doors,Engine Size,Number of Reviews,Rating,Body Type,CO2 Emissions (g/km)
Citroen C3 Aircross 1.2L Feel PureTech,2,10949,34117,2018,Petrol,Manual,White,5,1.2 L,70,4,Suv,116
Peugeot 308 SW 2L GT Line BlueHDi,2,10949,70174,2016,Diesel,Automatic,Blue,5,2.0 L,51,4,Estate,109
Ford Focus 1L Titanium X EcoBoost T,2,10949,54747,2016,Petrol,Manual,Red,5,1.0 L,620,4,Hatchback,105
Fiat 500 1L Lounge MHEV,2,10949,16363,2021,Petrol,Manual,Grey,3,1.0 L,44,4.5,Hatchback,119
Peugeot 308 2L Allure BlueHDi,2,10999,42694,2015,Diesel,Automatic,Black,5,2.0 L,51,4,Hatchback,107
Renault Clio 0.9L Iconic TCe,2,10999,30805,2019,Petrol,Manual,White,5,0.9 L,115,4,Hatchback,113
Nissan Leaf Acenta,2,10999,24842,2017,Electric,Automatic,White,5,N/A,7,4.5,Hatchback,0
Fiat 500 1L Lounge MHEV,2,10999,12402,2021,Petrol,Manual,Black,3,1.0 L,44,4.5,Hatchback,115
Ford Fiesta 1L Active Edition EcoBoost MHEV T,2,10999,72776,2020,Petrol,Manual,Silver,5,1.0 L,373,4,Hatchback,120
Hyundai i20 1.2L SE,2,11049,24498,2017,Petrol,Manual,White,5,1.2 L,54,4.5,Hatchback,112
Fiat 500 1L Lounge MHEV,2,11049,12189,2021,Petrol,Manual,Grey,3,1.0 L,44,4.5,Hatchback,115
Citroen C1 1L Shine VTi,2,11049,3251,2021,Petrol,Manual,White,5,1.0 L,44,4,Hatchback,110
Fiat 500 1L Lounge MHEV,2,11049,16083,2021,Petrol,Manual,Grey,3,1.0 L,44,4.5,Hatchback,119
Peugeot 2008 1.2L Active PureTech,2,11099,6026,2016,Petrol,Manual,Grey,5,1.2 L,14,4.5,Suv,114
Vauxhall Mokka X 1.4L Active ecoTEC i Turbo,2,11099,48000,2018,Petrol,Manual,Silver,5,1.4 L,32,4.5,Suv,150
Nissan Juke 1.2L Tekna Pulse DIG-T,2,11099,46093,2017,Petrol,Manual,Black,5,1.2 L,31,4,Suv,130
Peugeot 108 1L Allure,2,11149,6614,2020,Petrol,Manual,Blue,5,1.0 L,1,4,Hatchback,85
Peugeot 2008 1.2L Allure PureTech,2,11149,52436,2017,Petrol,Manual,Green,5,1.2 L,14,4.5,Suv,114
Citroen C3 1.2L Feel Nav Edition PureTech,2,11149,48980,2019,Petrol,Manual,Black,5,1.2 L,70,4,Hatchback,109
Nissan Juke 1.2L Envy DIG-T,2,11149,42401,2018,Petrol,Manual,White,5,1.2 L,31,4,Suv,130
DS DS 5 2L Elegance BlueHDi,2,11149,48619,2016,Diesel,Manual,Purple,5,2.0 L,1,4.5,Hatchback,105
Nissan X-Trail 1.6L Acenta dCi,2,11149,84308,2018,Diesel,Manual,Black,5,1.6 L,42,4.5,Suv,129
Renault Captur 0.9L Dynamique S Nav TCe ENERGY,2,11149,34739,2017,Petrol,Manual,Silver,5,0.9 L,9,4.5,Suv,114
Peugeot 208 1.2L Tech Edition PureTech,2,11199,24719,2019,Petrol,Manual,Grey,4,1.2 L,24,4.5,Hatchback,110
Peugeot 208 1.5L Tech Edition BlueHDi,2,11199,26407,2019,Diesel,Manual,Grey,5,1.5 L,24,4.5,Hatchback,90
Vauxhall Corsa SE ecoTEC i,2,11199,16477,2016,Petrol,Manual,Red,5,1.4 L,268,4,Hatchback,118
Nissan Qashqai 1.2L n-tec+ DIG-T,2,11199,50617,2015,Petrol,Manual,Blue,5,1.2 L,100,4.5,Suv,133
Citroen C3 1.2L Feel Nav Edition PureTech,2,11249,56864,2019,Petrol,Manual,Grey,5,1.2 L,70,4,Hatchback,109
Nissan Juke 1.5L Acenta dCi,2,11249,28679,2018,Diesel,Manual,Red,5,1.5 L,31,4,Suv,104
Suzuki Ignis 1.2L SZ3 Dualjet MHEV,2,11249,5424,2020,Petrol,Manual,Orange,5,1.2 L,9,4,Hatchback,117
Renault Zoe Dynamique Nav R110,2,11249,72753,2019,Electric,Automatic,White,5,N/A,0,N/A,Hatchback,0
Peugeot 308 SW 1.6L Allure BlueHDi,2,11249,56692,2016,Diesel,Automatic,White,5,1.6 L,51,4,Estate,102
Fiat 500 1L Lounge MHEV,2,11249,8692,2021,Petrol,Manual,Red,3,1.0 L,44,4.5,Hatchback,119
Fiat 500 1L Lounge MHEV,2,11249,5000,2021,Petrol,Manual,Grey,3,1.0 L,44,4.5,Hatchback,120
Ford Fiesta 1L ST-Line EcoBoost T,2,11249,26838,2017,Petrol,Manual,Black,3,1.0 L,373,4,Hatchback,99
Fiat 500 1L Lounge MHEV,2,11249,9257,2021,Petrol,Manual,Black,3,1.0 L,44,4.5,Hatchback,115
Peugeot 208 1.2L Roland Garros PureTech,2,11299,36648,2017,Petrol,Manual,Black,5,1.2 L,24,4.5,Hatchback,99
Vauxhall Mokka X 1.4L Active i Turbo,2,11299,9275,2017,Petrol,Manual,Orange,5,1.4 L,32,4.5,Suv,140
Fiat 500 1L Lounge MHEV,2,11349,9084,2021,Petrol,Manual,Red,3,1.0 L,44,4.5,Hatchback,115
Nissan Juke 1.2L Tekna DIG-T,2,11399,38237,2016,Petrol,Manual,Red,5,1.2 L,31,4,Suv,128
Ford Fiesta 1L Titanium EcoBoost T,2,11399,80212,2019,Petrol,Manual,Blue,5,1.0 L,373,4,Hatchback,106
Citroen C1 1L Urban Ride VTi,2,11399,2274,2021,Petrol,Manual,Silver,5,1.0 L,44,4,Hatchback,109
Ford Grand C-Max 1.5L Zetec TDCi,2,11399,52511,2016,Diesel,Automatic,Black,5,1.5 L,77,4.5,Mpv,119
